param_problem,param_solver_type,param_order,param_lim_type,param_grid_x,param_grid_y,time_weno,time_rp,time_flux1,time_flux2,time_total,weno %,rs %,python %
shallow2D,sharpclaw,7,2,200,200,28.030537,22.050861,52.539555,53.059547,54.73,51.2160369085,40.2902631098,3.05217065595
shallow2D,sharpclaw,17,2,100,100,18.798326,4.220293,23.621119,23.753424,24.14,77.8721043911,17.4825724938,1.6013918807
shallow2D,sharpclaw,7,2,300,300,102.436478,74.77861,186.92955,190.044785,196.32,52.1783200896,38.0901640179,3.19642165852
shallow2D,sharpclaw,17,2,200,200,177.525269,32.58519,214.600525,215.44873,218.05,81.4149364825,14.9439073607,1.19296950241
shallow2D,sharpclaw,7,2,50,50,0.388017,0.440025,0.892043,0.904053,0.98,39.5935714286,44.9005102041,7.74969387755
shallow2D,sharpclaw,17,2,300,300,894.345947,109.839111,1016.923706,1027.899536,1036.63,86.2743647203,10.5957874073,0.842196733647
shallow2D,sharpclaw,9,2,400,400,302.31781,192.575562,520.495972,527.251038,543.58,55.6160657125,35.4272714228,3.00396666544
shallow2D,sharpclaw,17,2,400,400,2764.476318,264.711426,3061.420654,3135.670654,3156.61,87.5773794672,8.38594016999,0.663349162551
shallow2D,sharpclaw,5,2,300,300,46.639282,63.684967,118.733856,121.616188,127.05,36.7093915781,50.1259086974,4.27690830382
shallow2D,sharpclaw,5,2,400,400,103.255798,145.934601,269.032257,276.376801,289.36,35.6841989218,50.433577896,4.48686722422
shallow2D,sharpclaw,7,2,100,100,3.03209,3.100089,6.592097,6.632367,6.91,43.879739508,44.8638060781,4.01784370478
shallow2D,sharpclaw,9,2,200,200,38.944885,26.841095,68.985756,69.748734,71.82,54.2256822612,37.3727304372,2.88396825397
shallow2D,sharpclaw,5,2,100,100,1.444067,2.756099,4.584105,4.66028,4.88,29.5915368852,56.4774385246,4.50245901639
shallow2D,sharpclaw,7,2,400,400,226.684052,168.81955,419.308563,425.521973,439.79,51.543703131,38.3864003274,3.24428181632
shallow2D,sharpclaw,17,2,50,50,2.008099,0.560034,2.660118,2.664173,2.77,72.4945487365,20.217833935,3.82046931408
shallow2D,sharpclaw,9,2,50,50,0.456025,0.500028,1.01606,1.020063,1.1,41.4568181818,45.4570909091,7.267
shallow2D,sharpclaw,5,2,50,50,0.256018,0.384019,0.704039,0.712045,0.77,33.2490909091,49.8725974026,7.52662337662
shallow2D,sharpclaw,5,2,200,200,13.622601,19.521111,35.459579,35.934036,37.39,36.4338085049,52.2094437015,3.89399304627
shallow2D,sharpclaw,9,2,100,100,4.416127,3.880095,8.704322,8.772572,9.01,49.013618202,43.0643174251,2.6351609323
shallow2D,sharpclaw,9,2,300,300,139.618713,87.12561,238.186035,241.638016,248.75,56.1281258291,35.0253708543,2.85908904523
