param_problem;param_solver_type;param_order;param_lim_type;param_grid_x;param_grid_y;time_weno;time_rp;time_flux1;time_flux2;time_total;weno %;rs %;python %;weno+rs %
shockbubble;sharpclaw;5;2;80;20;6.616286;3.204139;10.300721;10.380597;11.03;60.0;29.0;5.9;89.0
shockbubble;sharpclaw;5;2;160;40;62.372879;25.36689;91.246811;91.697327;95.65;65.2;26.5;4.1;91.7
shockbubble;sharpclaw;5;2;320;80;351.028809;166.517456;539.988831;540.973694;567.23;61.9;29.4;4.6;91.2
shockbubble;sharpclaw;5;2;480;120;1066.134155;540.328003;1678.939819;1738.08606;1836.36;58.1;29.4;5.4;87.5
shockbubble;sharpclaw;7;2;80;20;18.51055;3.884254;23.02133;23.109539;24.06;76.9;16.1;4.0;93.1
shockbubble;sharpclaw;7;2;160;40;140.850876;28.256805;173.088852;173.66716;177.83;79.2;15.9;2.3;95.1
shockbubble;sharpclaw;7;2;320;80;800.941895;190.546265;1014.619873;1022.421265;1049.97;76.3;18.1;2.6;94.4
shockbubble;sharpclaw;7;2;480;120;2487.236816;607.687256;3163.987793;3287.313232;3385.8;73.5;17.9;2.9;91.4
shockbubble;sharpclaw;9;2;80;20;31.478859;5.071808;37.361656;37.474468;38.6;81.6;13.1;2.9;94.7
shockbubble;sharpclaw;9;2;160;40;155.721939;17.419403;175.338089;175.686844;178.15;87.4;9.8;1.4;97.2
shockbubble;sharpclaw;9;2;320;80;1575.295898;246.89209;1851.227539;1899.238525;1936.22;81.4;12.8;1.9;94.1
shockbubble;sharpclaw;9;2;480;120;2064.861084;343.376221;2445.798584;2524.560303;2579.2;80.1;13.3;2.1;93.4
