problem,solver,order,lim_type,mx,my,time_weno,time_rp,time_flux1,time_flux2,time_total,weno %,rs %,python %,weno+rs %
shockbubble,sharpclaw,5,2,80,20,11.111053,10.850998,25.862331,27.029995,38.09,29.1705250722,28.4877868207,29.0365056445,57.6583118929
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,0,200
shockbubble,sharpclaw,9,2,480,120,3555.28125,1145.61377,4943.4375,5160.472168,1585.962704,224.17180688,72.2345971384,-225.384207017,296.406404018
shockbubble,sharpclaw,9,2,320,80,2496.491211,765.987793,3459.721191,3596.325684,-191.267296,-1305.23684038,-400.480274997,1980.26168572,-1705.71711538
shockbubble,sharpclaw,5,2,480,120,2259.422852,2230.342773,4978.286133,5270.055176,-1868.444592,-120.925333386,-119.368954399,382.055737621,-240.294287785
shockbubble,sharpclaw,9,2,80,20,57.743034,17.920715,82.583611,84.33223,103.46,55.8119408467,17.3213947419,18.4880823507,73.1333355886
shockbubble,sharpclaw,7,2,80,20,25.229492,13.300575,43.686119,45.129684,59.4,42.4738922559,22.391540404,24.0241010101,64.8654326599
shockbubble,sharpclaw,7,2,160,40,176.401489,83.990753,286.749878,293.748749,357.46,49.3485953673,23.4965459072,17.823323169,72.8451412745
shockbubble,sharpclaw,5,2,160,40,93.823853,81.953644,200.489258,207.281342,266.87,35.1571375576,30.7092007344,22.3287211002,65.8663382921
shockbubble,sharpclaw,9,2,160,40,322.693787,96.291199,447.409485,454.876587,523.25,61.6710534161,18.4025225036,13.0670641185,80.0735759197
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,0,200
shockbubble,sharpclaw,7,2,320,80,1247.946777,641.365234,2050.74585,2114.03418,-1737.057296,-71.8425799698,-36.9225146158,221.702040852,-108.765094586
shockbubble,sharpclaw,5,2,320,80,654.447021,611.651855,1427.227295,1473.713623,1883.73,34.7420819863,32.470250779,21.7661966949,67.2123327653
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,0,200
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,0,200
